crop_type,growth_stage,soil_type,soil_moisture,temperature,humidity,rain_forecast,forecast_rainfall_mm,irrigation_method,disease_context,crop_kc,reference_et0,crop_etc,effective_precipitation_peff,soil_field_capacity,soil_wilting_point,action_code,urgency,water_requirement_mm
Soybean,Fruiting,Black Soil,30.9,26.5,27.5,Moderate,12.1,Drip Irrigation,None / Healthy,1.05,3.8,3.99,7.14,40.0,22.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Pepper Bell,Maturity,Sandy Loam,16.5,19.1,42.8,High,32.6,Flood / Surface,Tomato Septoria Leaf Spot,0.85,2.06,1.75,23.61,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Pepper Bell,Fruiting,Clay Loam,47.6,18.8,24.9,None,0.0,Sprinkler (Overhead),None / Healthy,1.1,2.34,2.57,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Potato,Vegetative,Sandy,9.0,17.4,57.1,None,0.0,Drip Irrigation,Tomato Septoria Leaf Spot,0.8,2.0,1.6,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Potato,Vegetative,Clay Loam,37.1,40.3,87.1,High,34.5,Drip Irrigation,None / Healthy,0.8,3.86,3.09,25.14,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Soybean,Fruiting,Sandy,10.9,29.1,64.0,Moderate,17.6,Sub-surface Drip,None / Healthy,1.05,3.04,3.19,11.59,15.0,6.0,DELAY_RAIN_EXPECTED,Low,0.0
Tomato,Seedling,Sandy,15.6,19.6,73.4,None,0.0,Flood / Surface,Pepper Bell Bacterial Spot,0.6,2.0,1.2,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Vegetative,Sandy,15.6,16.7,47.8,Moderate,14.4,Sub-surface Drip,None / Healthy,0.7,2.0,1.4,8.99,15.0,6.0,DELAY_RAIN_EXPECTED,Low,0.0
Cotton,Flowering,Loamy,27.6,35.3,62.1,None,0.0,Sprinkler (Overhead),None / Healthy,1.2,4.05,4.86,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Vegetative,Sandy Loam,20.4,27.3,62.2,None,0.0,Drip Irrigation,None / Healthy,0.85,2.84,2.41,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Maturity,Loamy,11.0,33.5,86.0,High,35.2,Drip Irrigation,None / Healthy,0.5,3.0,1.5,25.69,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Corn,Flowering,Sandy Loam,9.1,21.6,68.6,None,0.0,Drip Irrigation,None / Healthy,1.2,2.0,2.4,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Sugarcane,Maturity,Sandy,14.8,23.0,58.9,None,0.0,Drip Irrigation,None / Healthy,0.7,2.32,1.62,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Vegetative,Clay Loam,40.9,18.1,94.8,Low,2.3,Drip Irrigation,None / Healthy,0.85,2.0,1.7,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
